state,total_customers,total_clv,avg_clv,max_clv,min_clv
PB,519,141947.86000000002,273.50262042389215,4681.78,29.74
AC,77,19680.620000000003,255.5924675324676,1251.7,39.03
RO,239,60738.3,254.13514644351466,2452.12,34.34
AL,401,97729.27,243.7138902743142,2269.98,32.39
AP,67,16262.799999999997,242.72835820895517,1482.42,34.8
PA,949,218295.85,230.027239199157,4042.74,26.13
TO,273,61485.33000000001,225.22098901098903,2784.16,26.13
PI,482,108523.96999999999,225.1534647302905,1989.75,34.8
RR,45,10064.62,223.65822222222218,994.77,39.03
SE,340,75091.22000000002,220.8565294117647,1729.98,30.97
RN,474,102718.13,216.70491561181433,1821.82,34.8
MT,875,187023.43,213.74106285714285,3242.84,27.29
CE,1311,278609.01,212.51640732265443,2734.11,25.43
MA,724,151988.74,209.9291988950276,3195.73,31.85
PE,1606,324717.5299999999,202.19024283935246,3792.59,18.59
MS,694,137575.09,198.235,6929.31,21.33
AM,143,27966.93,195.5729370629371,1853.75,29.65
BA,3277,616955.4199999999,188.26836130607265,3358.24,21.99
GO,1951,350537.11,179.67048180420298,4809.44,19.0
SC,3529,622270.8,176.33063190705582,9553.02,19.21
RJ,12379,2143858.74,173.1851312707004,13664.08,16.37
DF,2074,355241.38000000006,171.28321118611376,4194.76,20.6
RS,5276,890920.02,168.86277862016678,4655.910000000001,19.48
MG,11256,1872735.2299999993,166.3766195806681,6081.54,12.89
PR,4881,811539.35,166.26497643925424,3126.5,12.89
ES,1963,325834.30000000005,165.98792664289357,7274.88,22.04
SP,40290,5998561.069999999,148.88461330354926,6726.66,0.0
